epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,2841.22,0.9178,0.49957,0.90621,0.96973,0.92696,0.97551,0.53854,1.61196,0.56996,1.16876,0.00060538,0.00060538,0.00060538
89,2873.28,0.96202,0.50108,0.91734,0.92798,0.90152,0.93549,0.35739,2.21921,0.73649,1.46555,0.000597754,0.000597754,0.000597754
90,2905.27,0.93166,0.48504,0.91499,0.9681,0.93579,0.97689,0.49485,1.75952,0.60086,1.22888,0.000590105,0.000590105,0.000590105
91,2937.28,0.91152,0.47546,0.91788,0.94771,0.91592,0.96161,0.44286,1.86255,0.6576,1.25497,0.000582435,0.000582435,0.000582435
92,2969.24,0.95175,0.48087,0.91363,0.94393,0.91686,0.95298,0.38166,2.12361,0.69067,1.3999,0.000574746,0.000574746,0.000574746
93,3001.18,0.92411,0.47716,0.90852,0.97358,0.9428,0.97825,0.58624,1.42709,0.51259,1.08273,0.00056704,0.00056704,0.00056704
94,3033.19,0.90844,0.46272,0.89792,0.96441,0.92446,0.96928,0.46519,1.83512,0.64148,1.25894,0.000559318,0.000559318,0.000559318
95,3065.18,0.90754,0.46815,0.91263,0.96967,0.91752,0.96893,0.45686,1.89473,0.63289,1.29191,0.000551584,0.000551584,0.000551584
96,3097.15,0.90793,0.4698,0.90457,0.94509,0.8935,0.94133,0.37447,2.1562,0.72299,1.44719,0.000543837,0.000543837,0.000543837
97,3129.18,0.91493,0.46913,0.91117,0.96546,0.93778,0.97515,0.56224,1.53338,0.53794,1.13072,0.000536081,0.000536081,0.000536081
98,3161.2,0.90919,0.47177,0.90634,0.94823,0.91844,0.95525,0.40376,2.07438,0.67916,1.37399,0.000528318,0.000528318,0.000528318
99,3193.14,0.93036,0.48102,0.91019,0.97338,0.92512,0.97304,0.49155,1.77549,0.59865,1.2292,0.000520548,0.000520548,0.000520548
100,3225.13,0.88757,0.45717,0.90471,0.95783,0.91947,0.9602,0.41834,2.01241,0.64674,1.36109,0.000512775,0.000512775,0.000512775
101,3257.1,0.8771,0.44807,0.90028,0.97586,0.94209,0.97584,0.51211,1.70299,0.56798,1.21119,0.000505,0.000505,0.000505
102,3289.49,0.86397,0.44573,0.90524,0.9623,0.93696,0.97175,0.53788,1.59891,0.57691,1.15704,0.000497225,0.000497225,0.000497225
103,3321.52,0.86462,0.44327,0.88779,0.98173,0.94775,0.98365,0.64905,1.25029,0.45595,1.03277,0.000489452,0.000489452,0.000489452
104,3353.86,0.86173,0.45183,0.89314,0.96379,0.93393,0.96959,0.45848,1.90778,0.61737,1.31372,0.000481682,0.000481682,0.000481682
105,3385.85,0.85278,0.44375,0.89622,0.97417,0.93761,0.971,0.52925,1.63443,0.56586,1.16567,0.000473919,0.000473919,0.000473919
106,3417.76,0.86292,0.45089,0.89501,0.97582,0.95103,0.98197,0.60701,1.38079,0.49233,1.07121,0.000466163,0.000466163,0.000466163
107,3449.79,0.92621,0.4693,0.90445,0.97131,0.93776,0.97731,0.50134,1.72821,0.59112,1.21451,0.000458416,0.000458416,0.000458416
108,3481.74,0.93376,0.46864,0.91153,0.95851,0.92628,0.96088,0.40403,2.06812,0.66863,1.37966,0.000450682,0.000450682,0.000450682
109,3513.74,0.91449,0.45453,0.89738,0.96263,0.92598,0.95915,0.43538,1.90955,0.64749,1.29046,0.00044296,0.00044296,0.00044296
110,3545.74,0.90516,0.45687,0.8976,0.9714,0.93892,0.97611,0.55015,1.56584,0.56123,1.1384,0.000435254,0.000435254,0.000435254
111,3577.78,0.85985,0.43533,0.89628,0.97335,0.91266,0.96659,0.47236,1.81121,0.63757,1.25986,0.000427565,0.000427565,0.000427565
112,3609.79,0.87821,0.44882,0.90107,0.96842,0.93399,0.97738,0.45441,1.93574,0.6277,1.31921,0.000419895,0.000419895,0.000419895
113,3641.81,0.86413,0.43223,0.89236,0.9712,0.93349,0.9763,0.59003,1.46604,0.52666,1.10423,0.000412246,0.000412246,0.000412246
114,3673.66,0.88331,0.44692,0.89253,0.97448,0.94244,0.9811,0.61843,1.35697,0.49709,1.06666,0.00040462,0.00040462,0.00040462
115,3705.49,0.82151,0.42322,0.88915,0.97391,0.94392,0.97985,0.65392,1.24973,0.46943,1.03098,0.000397019,0.000397019,0.000397019
116,3737.93,0.82718,0.42638,0.89291,0.97644,0.93989,0.98141,0.64818,1.25436,0.4588,1.03645,0.000389445,0.000389445,0.000389445
117,3769.95,0.82613,0.42562,0.89428,0.96838,0.93658,0.97547,0.57952,1.46238,0.54283,1.12316,0.000381899,0.000381899,0.000381899
118,3802,0.86745,0.43275,0.89377,0.96194,0.93052,0.96459,0.45695,1.84078,0.61694,1.28287,0.000374383,0.000374383,0.000374383
119,3833.89,0.88915,0.44222,0.89524,0.96664,0.9235,0.96054,0.43211,1.98585,0.63401,1.35524,0.000366899,0.000366899,0.000366899
120,3865.92,0.89525,0.43842,0.89286,0.98272,0.94077,0.97948,0.53548,1.67558,0.54675,1.18919,0.00035945,0.00035945,0.00035945
121,3897.98,0.86569,0.43744,0.89421,0.9771,0.94678,0.97759,0.53491,1.6513,0.54564,1.18167,0.000352037,0.000352037,0.000352037
122,3930.08,0.86223,0.43778,0.89087,0.97299,0.93171,0.97331,0.52171,1.70999,0.58905,1.19838,0.000344661,0.000344661,0.000344661
123,3962.05,0.82054,0.42411,0.88468,0.9776,0.9401,0.97413,0.51881,1.68691,0.56419,1.19926,0.000337325,0.000337325,0.000337325
124,3993.99,0.82605,0.424,0.88458,0.9811,0.94988,0.98281,0.64248,1.27261,0.45679,1.0404,0.00033003,0.00033003,0.00033003
125,4025.92,0.83355,0.4174,0.88807,0.97624,0.9496,0.98017,0.56904,1.5356,0.51203,1.13768,0.000322778,0.000322778,0.000322778
126,4057.87,0.8156,0.41634,0.88775,0.9731,0.94623,0.97616,0.55516,1.5416,0.52451,1.12928,0.000315572,0.000315572,0.000315572
127,4090.21,0.81539,0.41321,0.87801,0.97696,0.94333,0.98169,0.5607,1.57694,0.53252,1.15296,0.000308412,0.000308412,0.000308412
128,4122.24,0.81452,0.41092,0.8745,0.94907,0.93543,0.96474,0.43004,1.999,0.65601,1.36251,0.0003013,0.0003013,0.0003013
129,4154.31,0.8401,0.41574,0.87748,0.97411,0.92481,0.96478,0.43837,1.98076,0.64203,1.34955,0.000294239,0.000294239,0.000294239
130,4186.36,0.79906,0.39994,0.87157,0.97825,0.94142,0.97829,0.56531,1.5461,0.52618,1.14026,0.00028723,0.00028723,0.00028723
131,4218.35,0.8178,0.41085,0.88461,0.97768,0.95569,0.98222,0.71447,1.02888,0.39872,0.9703,0.000280275,0.000280275,0.000280275
132,4250.79,0.81686,0.41885,0.88335,0.98427,0.94388,0.97748,0.63455,1.31205,0.4697,1.05286,0.000273375,0.000273375,0.000273375
133,4282.83,0.80897,0.41318,0.88047,0.9787,0.94124,0.97542,0.52678,1.6915,0.55808,1.21303,0.000266532,0.000266532,0.000266532
134,4314.81,0.825,0.41589,0.88224,0.97842,0.93774,0.97522,0.54182,1.63192,0.56236,1.18653,0.000259748,0.000259748,0.000259748
135,4346.77,0.81906,0.40812,0.881,0.97334,0.93106,0.96929,0.48221,1.83785,0.59738,1.28622,0.000253024,0.000253024,0.000253024
136,4378.69,0.82549,0.40612,0.87939,0.97376,0.94973,0.97783,0.53869,1.6329,0.53732,1.18614,0.000246363,0.000246363,0.000246363
137,4410.71,0.8068,0.40304,0.87312,0.97697,0.94469,0.97823,0.55874,1.53988,0.52415,1.14552,0.000239766,0.000239766,0.000239766
138,4442.74,0.7916,0.39684,0.87735,0.97957,0.93117,0.97744,0.57006,1.52595,0.52744,1.14342,0.000233234,0.000233234,0.000233234
139,4474.77,0.80109,0.397,0.879,0.97904,0.95038,0.98001,0.62815,1.35346,0.4767,1.07419,0.000226769,0.000226769,0.000226769
140,4506.7,0.79315,0.40386,0.87558,0.97984,0.94915,0.98135,0.62057,1.36477,0.47215,1.07371,0.000220372,0.000220372,0.000220372
141,4538.67,0.79624,0.40263,0.87797,0.96938,0.9569,0.98216,0.57115,1.53569,0.51978,1.14551,0.000214046,0.000214046,0.000214046
142,4570.7,0.78437,0.40426,0.86438,0.97732,0.93915,0.97763,0.52018,1.7106,0.57419,1.21687,0.000207792,0.000207792,0.000207792
143,4602.71,0.76896,0.381,0.86615,0.9804,0.94049,0.97897,0.51727,1.72661,0.54932,1.22988,0.000201611,0.000201611,0.000201611
144,4634.71,0.76784,0.39182,0.86775,0.97614,0.93473,0.9742,0.49189,1.80132,0.58769,1.26899,0.000195505,0.000195505,0.000195505
145,4666.69,0.75811,0.3856,0.87599,0.97663,0.94237,0.97775,0.60189,1.42034,0.5102,1.09821,0.000189475,0.000189475,0.000189475
146,4698.72,0.76608,0.38725,0.86275,0.97496,0.94775,0.97895,0.57459,1.54666,0.52245,1.15623,0.000183523,0.000183523,0.000183523
147,4730.8,0.75854,0.38762,0.85952,0.97588,0.95272,0.97881,0.58382,1.49889,0.51178,1.13699,0.000177651,0.000177651,0.000177651
148,4762.81,0.75572,0.3761,0.87098,0.98163,0.94518,0.98076,0.61932,1.37105,0.46742,1.07622,0.000171859,0.000171859,0.000171859
149,4794.82,0.74373,0.3776,0.86917,0.97528,0.94747,0.97871,0.5928,1.46944,0.50273,1.12991,0.000166149,0.000166149,0.000166149
150,4826.83,0.76524,0.3856,0.87167,0.97765,0.94902,0.98077,0.64052,1.29948,0.45217,1.0648,0.000160523,0.000160523,0.000160523
151,4858.82,0.76492,0.38773,0.86444,0.98244,0.94605,0.97972,0.6501,1.25603,0.45394,1.04441,0.000154982,0.000154982,0.000154982
152,4891.17,0.76374,0.38504,0.86221,0.97684,0.95153,0.97837,0.61379,1.39905,0.49067,1.08816,0.000149527,0.000149527,0.000149527
153,4923.17,0.73905,0.37636,0.86147,0.97955,0.95138,0.97947,0.64929,1.28114,0.46127,1.05851,0.000144161,0.000144161,0.000144161
154,4955.2,0.75416,0.37904,0.86309,0.97686,0.95757,0.98027,0.654,1.2638,0.45228,1.04833,0.000138883,0.000138883,0.000138883
155,4987.23,0.75354,0.38204,0.85795,0.97989,0.95618,0.98181,0.63391,1.34386,0.4571,1.08014,0.000133695,0.000133695,0.000133695
156,5019.26,0.73416,0.36802,0.85908,0.98407,0.94841,0.98029,0.59364,1.47928,0.50104,1.12847,0.000128599,0.000128599,0.000128599
157,5051.26,0.73223,0.37276,0.85484,0.98679,0.943,0.97841,0.61254,1.40294,0.49069,1.09631,0.000123596,0.000123596,0.000123596
158,5083.28,0.73726,0.37742,0.86747,0.98268,0.94929,0.98101,0.64761,1.28243,0.45755,1.05666,0.000118687,0.000118687,0.000118687
159,5115.27,0.72287,0.37333,0.85814,0.98314,0.95478,0.98167,0.63629,1.33284,0.46155,1.0733,0.000113873,0.000113873,0.000113873
160,5147.32,0.72987,0.3699,0.86732,0.98199,0.95972,0.98252,0.64587,1.29546,0.45925,1.05778,0.000109156,0.000109156,0.000109156
161,5179.27,0.74065,0.37008,0.86656,0.98249,0.95663,0.98209,0.64325,1.31135,0.45834,1.06423,0.000104537,0.000104537,0.000104537
162,5211.17,0.72104,0.36375,0.85888,0.98235,0.95493,0.98311,0.67586,1.18586,0.42726,1.02377,0.000100016,0.000100016,0.000100016
163,5243.17,0.73878,0.3736,0.86294,0.9818,0.94784,0.97937,0.6626,1.2196,0.44504,1.03155,9.55951e-05,9.55951e-05,9.55951e-05
164,5275.16,0.71809,0.36422,0.8621,0.97961,0.95682,0.98258,0.66968,1.21118,0.43545,1.03367,9.12754e-05,9.12754e-05,9.12754e-05
165,5307.07,0.73035,0.36246,0.86533,0.97928,0.95306,0.98179,0.6609,1.23442,0.44731,1.03902,8.70577e-05,8.70577e-05,8.70577e-05
166,5339.09,0.72026,0.35924,0.86375,0.98001,0.95143,0.98092,0.64642,1.30136,0.45833,1.0635,8.29431e-05,8.29431e-05,8.29431e-05
167,5371.05,0.71821,0.36001,0.86174,0.97707,0.94909,0.97944,0.61944,1.37808,0.4795,1.08415,7.89327e-05,7.89327e-05,7.89327e-05
168,5403,0.71391,0.35724,0.86737,0.98051,0.94903,0.98071,0.60224,1.44575,0.49399,1.11533,7.50274e-05,7.50274e-05,7.50274e-05
169,5435,0.73857,0.36804,0.85712,0.98108,0.95152,0.98136,0.62758,1.36644,0.46895,1.08198,7.12282e-05,7.12282e-05,7.12282e-05
170,5466.97,0.73089,0.36578,0.86031,0.98246,0.95395,0.98284,0.66681,1.22233,0.43351,1.03851,6.7536e-05,6.7536e-05,6.7536e-05
171,5498.92,0.73644,0.37171,0.85668,0.97883,0.95271,0.98102,0.63553,1.33783,0.46533,1.07991,6.39518e-05,6.39518e-05,6.39518e-05
172,5531.02,0.71192,0.36119,0.85895,0.98127,0.94794,0.9787,0.60332,1.44271,0.49757,1.11828,6.04763e-05,6.04763e-05,6.04763e-05
173,5563.06,0.70573,0.35646,0.84897,0.98513,0.94312,0.97788,0.60468,1.43019,0.49754,1.11429,5.71106e-05,5.71106e-05,5.71106e-05
174,5595.13,0.71562,0.3604,0.86175,0.98086,0.9529,0.9805,0.63967,1.31491,0.46945,1.07501,5.38554e-05,5.38554e-05,5.38554e-05
175,5627.12,0.69287,0.34733,0.85244,0.97981,0.95112,0.97947,0.63495,1.33558,0.47533,1.07722,5.07115e-05,5.07115e-05,5.07115e-05
