epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
103,12056.7,0.62761,0.4025,0.87529,0.98055,0.96291,0.98443,0.76035,0.92608,0.36704,0.95392,0.000489452,0.000489452,0.000489452
104,12173.6,0.62984,0.39851,0.87203,0.9828,0.95665,0.98627,0.75461,0.93123,0.36335,0.94931,0.000481682,0.000481682,0.000481682
105,12290.5,0.63454,0.39317,0.86891,0.97814,0.96157,0.98714,0.76617,0.90723,0.35426,0.94547,0.000473919,0.000473919,0.000473919
106,12407.5,0.62936,0.39415,0.86934,0.98442,0.96102,0.98766,0.80566,0.76624,0.32884,0.91105,0.000466163,0.000466163,0.000466163
107,12524.6,0.6235,0.39242,0.8707,0.97923,0.95906,0.98549,0.78753,0.80782,0.35321,0.92641,0.000458416,0.000458416,0.000458416
108,12641.7,0.62886,0.38918,0.8687,0.98014,0.95288,0.98187,0.78405,0.81975,0.36702,0.92722,0.000450682,0.000450682,0.000450682
109,12759.2,0.62112,0.39794,0.87103,0.98218,0.96649,0.98865,0.77468,0.88094,0.33904,0.9379,0.00044296,0.00044296,0.00044296
110,12876.4,0.60821,0.38522,0.86326,0.98579,0.95466,0.9877,0.81364,0.74331,0.31976,0.91333,0.000435254,0.000435254,0.000435254
111,12993.2,0.61291,0.38335,0.86741,0.97841,0.96,0.98675,0.7837,0.84639,0.33556,0.93022,0.000427565,0.000427565,0.000427565
112,13109.9,0.59713,0.37888,0.86049,0.97999,0.96298,0.98618,0.80546,0.76844,0.32826,0.91578,0.000419895,0.000419895,0.000419895
113,13226.5,0.60342,0.37931,0.8656,0.9843,0.95955,0.9842,0.78655,0.83243,0.34257,0.92992,0.000412246,0.000412246,0.000412246
114,13343.1,0.61155,0.38522,0.86158,0.98287,0.96154,0.98548,0.81516,0.73145,0.31887,0.91247,0.00040462,0.00040462,0.00040462
115,13460.6,0.6008,0.37698,0.86657,0.98106,0.96398,0.98644,0.77648,0.86652,0.34448,0.93918,0.000397019,0.000397019,0.000397019
116,13578,0.59735,0.37496,0.8617,0.98683,0.95936,0.98865,0.73468,1.01759,0.36352,0.97296,0.000389445,0.000389445,0.000389445
117,13694.5,0.59017,0.36963,0.85743,0.98164,0.9659,0.98682,0.7572,0.93864,0.3465,0.95626,0.000381899,0.000381899,0.000381899
118,13811.1,0.58611,0.37615,0.86335,0.97866,0.96885,0.98855,0.79321,0.80153,0.32409,0.92027,0.000374383,0.000374383,0.000374383
119,13927.8,0.58849,0.36937,0.86071,0.98394,0.96841,0.98919,0.82881,0.69968,0.29989,0.90763,0.000366899,0.000366899,0.000366899
120,14045.2,0.57843,0.36878,0.85822,0.98163,0.96912,0.9894,0.78444,0.83902,0.32543,0.93122,0.00035945,0.00035945,0.00035945
121,14162,0.58477,0.36815,0.86037,0.98103,0.96642,0.98499,0.8118,0.74731,0.33422,0.91602,0.000352037,0.000352037,0.000352037
122,14278.7,0.57452,0.3558,0.85725,0.98133,0.96499,0.98765,0.81089,0.76549,0.33098,0.92165,0.000344661,0.000344661,0.000344661
123,14395.5,0.57654,0.36061,0.85554,0.98215,0.96216,0.98799,0.76965,0.8991,0.3506,0.94493,0.000337325,0.000337325,0.000337325
124,14512.8,0.57665,0.36673,0.85928,0.97962,0.97051,0.99011,0.82083,0.72916,0.30742,0.90823,0.00033003,0.00033003,0.00033003
125,14630.4,0.57741,0.3714,0.85797,0.98142,0.96694,0.98833,0.81711,0.73525,0.31627,0.91238,0.000322778,0.000322778,0.000322778
126,14748.2,0.57054,0.36137,0.85414,0.98006,0.96691,0.98733,0.7837,0.84765,0.32387,0.93423,0.000315572,0.000315572,0.000315572
127,14866.3,0.56309,0.358,0.85442,0.98165,0.95532,0.98422,0.81537,0.73722,0.32489,0.91452,0.000308412,0.000308412,0.000308412
128,14983.3,0.56615,0.35861,0.85622,0.9766,0.96133,0.98483,0.80689,0.76871,0.32944,0.92276,0.0003013,0.0003013,0.0003013
129,15100.4,0.5698,0.36243,0.85518,0.9852,0.95317,0.98574,0.79246,0.81761,0.33507,0.93353,0.000294239,0.000294239,0.000294239
130,15217.4,0.56494,0.35467,0.85032,0.9729,0.96597,0.98441,0.81962,0.72511,0.32864,0.91414,0.00028723,0.00028723,0.00028723
131,15333.9,0.5554,0.35338,0.8534,0.97676,0.96583,0.98657,0.81799,0.73811,0.32002,0.91299,0.000280275,0.000280275,0.000280275
132,15450.9,0.55667,0.35509,0.85502,0.97702,0.96341,0.98561,0.79974,0.78895,0.32994,0.92475,0.000273375,0.000273375,0.000273375
133,15567.9,0.54381,0.33851,0.84839,0.98865,0.95557,0.98403,0.81613,0.73352,0.32567,0.9151,0.000266532,0.000266532,0.000266532
134,15685.7,0.54439,0.34494,0.85055,0.98469,0.95897,0.98347,0.81971,0.72758,0.32425,0.91363,0.000259748,0.000259748,0.000259748
135,15802.7,0.54808,0.35276,0.85095,0.98367,0.96441,0.98507,0.82494,0.71277,0.32238,0.91264,0.000253024,0.000253024,0.000253024
136,15920.4,0.54371,0.34201,0.84823,0.98847,0.9593,0.98613,0.81253,0.75841,0.31817,0.92292,0.000246363,0.000246363,0.000246363
137,16037.6,0.5526,0.34837,0.84967,0.98188,0.96189,0.98604,0.81498,0.74646,0.31815,0.92185,0.000239766,0.000239766,0.000239766
138,16155,0.53791,0.34108,0.84644,0.97835,0.96696,0.98551,0.80423,0.78017,0.32409,0.92613,0.000233234,0.000233234,0.000233234
139,16272.2,0.54208,0.34045,0.84985,0.97752,0.96823,0.98524,0.80491,0.77555,0.32674,0.92425,0.000226769,0.000226769,0.000226769
140,16389.1,0.53747,0.34616,0.84474,0.98113,0.96309,0.98442,0.7968,0.79659,0.33343,0.93167,0.000220372,0.000220372,0.000220372
141,16506.1,0.5352,0.3436,0.84956,0.97962,0.96501,0.98616,0.80481,0.78441,0.3239,0.92802,0.000214046,0.000214046,0.000214046
142,16622.8,0.52941,0.33528,0.84666,0.98149,0.96261,0.98723,0.81867,0.73326,0.31328,0.91848,0.000207792,0.000207792,0.000207792
143,16739.4,0.53172,0.34221,0.8509,0.98119,0.96317,0.98696,0.80848,0.76519,0.31439,0.92245,0.000201611,0.000201611,0.000201611
144,16856.1,0.53111,0.34128,0.84478,0.98352,0.96227,0.98383,0.82291,0.72122,0.31209,0.91634,0.000195505,0.000195505,0.000195505
145,16972.6,0.52209,0.32932,0.84449,0.98397,0.96142,0.98338,0.81744,0.74353,0.31901,0.91907,0.000189475,0.000189475,0.000189475
146,17090.2,0.5265,0.32981,0.84389,0.98782,0.95645,0.98296,0.81096,0.7464,0.31772,0.91951,0.000183523,0.000183523,0.000183523
147,17207.8,0.52437,0.33816,0.84695,0.9865,0.96092,0.98423,0.80844,0.75805,0.32111,0.92112,0.000177651,0.000177651,0.000177651
148,17325.3,0.51742,0.32987,0.8445,0.98464,0.96336,0.98459,0.81473,0.737,0.3158,0.91841,0.000171859,0.000171859,0.000171859
149,17442.5,0.5169,0.32752,0.84065,0.98649,0.95972,0.9863,0.82556,0.71212,0.31551,0.91523,0.000166149,0.000166149,0.000166149
150,17559.5,0.51874,0.33022,0.84582,0.98081,0.96432,0.98649,0.81809,0.74044,0.31904,0.91951,0.000160523,0.000160523,0.000160523
151,17676.6,0.5126,0.33009,0.84078,0.98834,0.96031,0.98801,0.82431,0.72145,0.30962,0.91574,0.000154982,0.000154982,0.000154982
152,17793.6,0.5143,0.33073,0.84453,0.98135,0.9659,0.9884,0.82903,0.71183,0.30394,0.915,0.000149527,0.000149527,0.000149527
153,17910.7,0.51256,0.32412,0.84129,0.9825,0.96657,0.98947,0.83257,0.6999,0.30018,0.9109,0.000144161,0.000144161,0.000144161
154,18027.9,0.51146,0.32883,0.84143,0.98762,0.96338,0.98813,0.83203,0.69456,0.3003,0.90978,0.000138883,0.000138883,0.000138883
155,18145.4,0.50677,0.32371,0.84195,0.98393,0.96605,0.98694,0.83096,0.70225,0.30108,0.91304,0.000133695,0.000133695,0.000133695
156,18263,0.50573,0.32081,0.83986,0.98386,0.96565,0.98707,0.82707,0.71161,0.30721,0.91426,0.000128599,0.000128599,0.000128599
157,18380.2,0.49785,0.31785,0.83672,0.98304,0.96577,0.9872,0.82899,0.70293,0.30431,0.91356,0.000123596,0.000123596,0.000123596
158,18497.2,0.50295,0.31985,0.84042,0.98036,0.96812,0.98681,0.82895,0.70063,0.30469,0.91348,0.000118687,0.000118687,0.000118687
159,18614.4,0.4882,0.31135,0.83691,0.98211,0.96423,0.98569,0.83248,0.69523,0.31156,0.91442,0.000113873,0.000113873,0.000113873
160,18731.1,0.49744,0.32051,0.84039,0.98683,0.96131,0.98484,0.83062,0.69937,0.31129,0.91509,0.000109156,0.000109156,0.000109156
161,18847.9,0.50015,0.32161,0.84048,0.98567,0.96373,0.9868,0.83247,0.69499,0.30397,0.91338,0.000104537,0.000104537,0.000104537
162,18964.6,0.49729,0.31793,0.83706,0.98372,0.96819,0.98629,0.83279,0.69647,0.30253,0.91429,0.000100016,0.000100016,0.000100016
163,19081.8,0.49433,0.32144,0.84014,0.98641,0.96555,0.98603,0.82964,0.70559,0.30396,0.91744,9.55951e-05,9.55951e-05,9.55951e-05
164,19198.7,0.49364,0.31826,0.83709,0.98745,0.9646,0.98685,0.83208,0.69351,0.30323,0.91458,9.12754e-05,9.12754e-05,9.12754e-05
165,19315.9,0.49292,0.31364,0.83737,0.98791,0.96465,0.98652,0.83038,0.6973,0.30509,0.91586,8.70577e-05,8.70577e-05,8.70577e-05
166,19432.7,0.49863,0.32106,0.83891,0.98669,0.96147,0.98639,0.82836,0.70866,0.30896,0.91852,8.29431e-05,8.29431e-05,8.29431e-05
167,19549.5,0.48896,0.31651,0.84071,0.98721,0.95928,0.98612,0.82659,0.71038,0.30906,0.91868,7.89327e-05,7.89327e-05,7.89327e-05
168,19666.5,0.48288,0.31386,0.83706,0.98723,0.96101,0.98674,0.82813,0.70667,0.30634,0.91863,7.50274e-05,7.50274e-05,7.50274e-05
169,19783.6,0.4911,0.31824,0.83898,0.98771,0.96258,0.98643,0.82663,0.70874,0.30621,0.91925,7.12282e-05,7.12282e-05,7.12282e-05
170,19900.4,0.48192,0.3093,0.83463,0.9867,0.96258,0.98608,0.82604,0.70902,0.3068,0.91901,6.7536e-05,6.7536e-05,6.7536e-05
171,20017.4,0.48097,0.31154,0.83563,0.98637,0.96233,0.9864,0.82358,0.71709,0.31014,0.92017,6.39518e-05,6.39518e-05,6.39518e-05
172,20134.4,0.48313,0.30806,0.83539,0.98629,0.96158,0.9861,0.82346,0.72047,0.31186,0.92104,6.04763e-05,6.04763e-05,6.04763e-05
173,20251.5,0.48263,0.31407,0.83546,0.98533,0.9604,0.98683,0.82237,0.73013,0.3164,0.9232,5.71106e-05,5.71106e-05,5.71106e-05
174,20368.3,0.47476,0.30391,0.83266,0.98546,0.96141,0.98694,0.82062,0.73165,0.31286,0.92345,5.38554e-05,5.38554e-05,5.38554e-05
175,20485.6,0.475,0.30638,0.83326,0.98944,0.95714,0.98734,0.82174,0.72913,0.30893,0.92269,5.07115e-05,5.07115e-05,5.07115e-05
176,20602.8,0.46799,0.30454,0.83652,0.9889,0.95856,0.9868,0.82361,0.72203,0.30978,0.92173,4.76796e-05,4.76796e-05,4.76796e-05
177,20720.1,0.47075,0.30313,0.83092,0.98865,0.95842,0.98683,0.82532,0.71519,0.31014,0.92101,4.47606e-05,4.47606e-05,4.47606e-05
178,20836.7,0.46911,0.30352,0.8314,0.9869,0.95842,0.98637,0.8275,0.70882,0.31,0.91953,4.19552e-05,4.19552e-05,4.19552e-05
179,20953.4,0.4714,0.30663,0.83251,0.98638,0.95888,0.98642,0.82818,0.70975,0.31088,0.92002,3.9264e-05,3.9264e-05,3.9264e-05
