epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
92,6277.68,0.88422,0.63011,0.92938,0.97174,0.98027,0.98953,0.75973,0.89172,0.34291,0.93569,0.000574746,0.000574746,0.000574746
93,6345.71,0.86073,0.60841,0.9228,0.98065,0.96957,0.9897,0.70609,1.08947,0.3931,1.03387,0.00056704,0.00056704,0.00056704
94,6413.68,0.88623,0.62427,0.92799,0.96877,0.98112,0.9891,0.62793,1.38149,0.4534,1.17605,0.000559318,0.000559318,0.000559318
95,6481.6,0.8651,0.61006,0.92029,0.98472,0.97931,0.99162,0.75288,0.95548,0.34496,0.96901,0.000551584,0.000551584,0.000551584
96,6549.58,0.84666,0.59746,0.91768,0.98102,0.9776,0.98858,0.71439,1.07137,0.375,1.0207,0.000543837,0.000543837,0.000543837
97,6617.78,0.83878,0.58842,0.91663,0.98801,0.96864,0.98837,0.70244,1.12581,0.38936,0.99716,0.000536081,0.000536081,0.000536081
98,6685.95,0.87608,0.62977,0.92592,0.95524,0.95337,0.97921,0.48857,1.85138,0.62192,1.49978,0.000528318,0.000528318,0.000528318
99,6753.98,0.8515,0.59408,0.91772,0.98019,0.9727,0.98942,0.76085,0.88143,0.3533,0.94003,0.000520548,0.000520548,0.000520548
100,6822.13,0.87061,0.6071,0.9241,0.97911,0.97565,0.99,0.79753,0.7855,0.31827,0.91755,0.000512775,0.000512775,0.000512775
101,6890.72,0.84319,0.58153,0.91064,0.98266,0.97554,0.99075,0.79747,0.78538,0.31154,0.91583,0.000505,0.000505,0.000505
102,6959.57,0.82259,0.58001,0.91259,0.97803,0.98048,0.99106,0.79077,0.80831,0.31571,0.92339,0.000497225,0.000497225,0.000497225
103,7028.05,0.82674,0.57923,0.90854,0.97055,0.97343,0.98671,0.61793,1.43482,0.46328,1.22006,0.000489452,0.000489452,0.000489452
104,7096.2,0.8255,0.58217,0.91357,0.97484,0.97517,0.98948,0.65314,1.31551,0.43088,1.1385,0.000481682,0.000481682,0.000481682
105,7164.3,0.81155,0.5636,0.90614,0.98374,0.9689,0.98946,0.703,1.13725,0.38735,1.04463,0.000473919,0.000473919,0.000473919
106,7232.4,0.81308,0.56378,0.91243,0.98129,0.97121,0.98781,0.65727,1.28651,0.43571,1.04178,0.000466163,0.000466163,0.000466163
107,7300.68,0.81626,0.56479,0.90942,0.98429,0.97616,0.98986,0.79716,0.77301,0.31057,0.91092,0.000458416,0.000458416,0.000458416
108,7368.92,0.80861,0.55813,0.90445,0.98521,0.9731,0.98982,0.77417,0.86289,0.32771,0.92353,0.000450682,0.000450682,0.000450682
109,7437.43,0.80829,0.56153,0.90568,0.98566,0.97468,0.99137,0.7635,0.94152,0.34727,0.96176,0.00044296,0.00044296,0.00044296
110,7505.99,0.79039,0.54335,0.90101,0.98072,0.97999,0.98878,0.8113,0.7405,0.29678,0.91087,0.000435254,0.000435254,0.000435254
111,7574.36,0.80527,0.56225,0.90564,0.97991,0.98015,0.98829,0.77676,0.85066,0.32443,0.93024,0.000427565,0.000427565,0.000427565
112,7642.62,0.79107,0.53936,0.90155,0.98386,0.97726,0.98925,0.77049,0.90811,0.33633,0.95728,0.000419895,0.000419895,0.000419895
113,7710.51,0.79199,0.54077,0.90057,0.98594,0.97508,0.99055,0.75644,0.94987,0.34112,0.96938,0.000412246,0.000412246,0.000412246
114,7778.5,0.785,0.52943,0.89755,0.98381,0.97712,0.99141,0.80631,0.77047,0.29966,0.91549,0.00040462,0.00040462,0.00040462
115,7846.85,0.7849,0.5422,0.90036,0.96327,0.97422,0.98024,0.66806,1.24321,0.44014,1.11406,0.000397019,0.000397019,0.000397019
116,7915.38,0.78648,0.53531,0.89635,0.98037,0.96926,0.98717,0.62592,1.46369,0.4653,1.25246,0.000389445,0.000389445,0.000389445
117,7983.47,0.78077,0.53328,0.90171,0.98242,0.97748,0.9871,0.7992,0.76197,0.30809,0.91184,0.000381899,0.000381899,0.000381899
118,8051.65,0.77695,0.5378,0.89923,0.98661,0.97337,0.98984,0.76922,0.90136,0.33087,0.95266,0.000374383,0.000374383,0.000374383
119,8119.62,0.77827,0.54083,0.89891,0.9735,0.96891,0.98651,0.61196,1.48244,0.484,1.25353,0.000366899,0.000366899,0.000366899
120,8187.7,0.75974,0.51594,0.89109,0.97317,0.97214,0.9862,0.68404,1.21074,0.42677,1.08318,0.00035945,0.00035945,0.00035945
121,8255.91,0.7614,0.52011,0.8957,0.96963,0.97771,0.98629,0.72336,1.05972,0.38023,1.01706,0.000352037,0.000352037,0.000352037
122,8324.14,0.74831,0.50298,0.88694,0.9686,0.96855,0.986,0.57614,1.57896,0.5145,1.34541,0.000344661,0.000344661,0.000344661
123,8392.28,0.74902,0.50756,0.88833,0.98605,0.97143,0.99143,0.72675,1.07688,0.37518,1.02929,0.000337325,0.000337325,0.000337325
124,8460.38,0.75789,0.50812,0.89404,0.97294,0.97342,0.99036,0.71461,1.1165,0.39377,1.04396,0.00033003,0.00033003,0.00033003
125,8528.78,0.75023,0.51801,0.89232,0.96229,0.97333,0.98277,0.62081,1.40461,0.47809,1.20567,0.000322778,0.000322778,0.000322778
126,8596.92,0.73988,0.49789,0.88813,0.98444,0.97481,0.99093,0.74926,0.99602,0.34816,0.98755,0.000315572,0.000315572,0.000315572
127,8665.41,0.7345,0.48924,0.88385,0.96388,0.97142,0.97967,0.60476,1.48552,0.502,1.27701,0.000308412,0.000308412,0.000308412
128,8733.45,0.7363,0.49004,0.88203,0.97999,0.9772,0.99033,0.70942,1.13919,0.38878,1.05799,0.0003013,0.0003013,0.0003013
129,8801.44,0.72794,0.49327,0.88473,0.96684,0.96697,0.97999,0.63556,1.38438,0.47128,1.20419,0.000294239,0.000294239,0.000294239
130,8869.57,0.72183,0.4878,0.88695,0.97012,0.97172,0.98956,0.66065,1.32843,0.43851,1.16749,0.00028723,0.00028723,0.00028723
131,8937.78,0.71493,0.48644,0.87848,0.9803,0.97093,0.98857,0.75018,0.97066,0.3482,0.98301,0.000280275,0.000280275,0.000280275
132,9005.94,0.71668,0.48584,0.88233,0.98189,0.976,0.98918,0.73259,1.03953,0.36129,1.01427,0.000273375,0.000273375,0.000273375
133,9073.99,0.71193,0.47187,0.87921,0.9843,0.9765,0.9891,0.71151,1.12306,0.38251,1.04668,0.000266532,0.000266532,0.000266532
134,9141.8,0.71249,0.47195,0.87545,0.98886,0.97668,0.99033,0.79524,0.78744,0.29975,0.92098,0.000259748,0.000259748,0.000259748
135,9209.89,0.72168,0.48237,0.88423,0.9847,0.97694,0.98956,0.70754,1.13351,0.38174,1.05203,0.000253024,0.000253024,0.000253024
136,9277.99,0.71406,0.47123,0.88133,0.98448,0.98352,0.98973,0.80596,0.78217,0.29682,0.92302,0.000246363,0.000246363,0.000246363
137,9346.07,0.71431,0.47292,0.87975,0.98441,0.96882,0.98831,0.74301,1.00817,0.35711,1.00247,0.000239766,0.000239766,0.000239766
138,9414.23,0.69207,0.45932,0.87108,0.96604,0.96933,0.98789,0.64451,1.35771,0.46931,1.19123,0.000233234,0.000233234,0.000233234
139,9482.44,0.68414,0.46012,0.87065,0.9834,0.97266,0.9899,0.7365,1.05831,0.37171,1.02093,0.000226769,0.000226769,0.000226769
140,9550.44,0.70664,0.46501,0.87468,0.98232,0.9737,0.98904,0.65843,1.32694,0.43641,1.17859,0.000220372,0.000220372,0.000220372
141,9618.55,0.68681,0.4573,0.87162,0.98261,0.9758,0.99103,0.74922,1.00014,0.34784,0.9998,0.000214046,0.000214046,0.000214046
142,9686.64,0.69617,0.45966,0.87484,0.97731,0.9755,0.98786,0.67338,1.26766,0.42586,1.13709,0.000207792,0.000207792,0.000207792
143,9754.31,0.68331,0.45816,0.87415,0.98297,0.98073,0.98973,0.74196,1.03357,0.35776,1.01688,0.000201611,0.000201611,0.000201611
144,9822.37,0.67628,0.45395,0.874,0.98162,0.97198,0.98919,0.70705,1.13774,0.38839,1.06466,0.000195505,0.000195505,0.000195505
145,9890.33,0.6792,0.45029,0.87129,0.98114,0.98345,0.99013,0.81838,0.73806,0.28769,0.90947,0.000189475,0.000189475,0.000189475
146,9958.6,0.67728,0.44613,0.8743,0.98131,0.97922,0.98995,0.74156,1.02438,0.34871,1.00395,0.000183523,0.000183523,0.000183523
147,10026.6,0.66745,0.44162,0.86656,0.98057,0.97904,0.98897,0.69784,1.17458,0.39017,1.08083,0.000177651,0.000177651,0.000177651
148,10094.5,0.66733,0.44483,0.87036,0.97324,0.97431,0.98823,0.62715,1.43895,0.46344,1.24744,0.000171859,0.000171859,0.000171859
149,10162.5,0.65766,0.43358,0.86743,0.97613,0.97006,0.98893,0.641,1.39443,0.45049,1.2226,0.000166149,0.000166149,0.000166149
150,10230.7,0.67585,0.44846,0.87179,0.98205,0.97006,0.98933,0.73595,1.05517,0.35931,1.02242,0.000160523,0.000160523,0.000160523
151,10298.8,0.67445,0.4481,0.86955,0.98515,0.97396,0.98999,0.74748,1.0208,0.34963,1.01001,0.000154982,0.000154982,0.000154982
152,10367.2,0.65451,0.43228,0.86223,0.98293,0.97086,0.98917,0.71272,1.13682,0.38386,1.06632,0.000149527,0.000149527,0.000149527
153,10435.6,0.64467,0.42318,0.86315,0.97766,0.97325,0.98915,0.66766,1.29594,0.4244,1.15237,0.000144161,0.000144161,0.000144161
154,10503.6,0.65339,0.42638,0.86652,0.98288,0.98203,0.98992,0.75549,0.98226,0.3429,0.98825,0.000138883,0.000138883,0.000138883
155,10571.6,0.64703,0.43018,0.8661,0.98075,0.97451,0.98939,0.70102,1.18313,0.39865,1.08346,0.000133695,0.000133695,0.000133695
156,10639.7,0.656,0.43392,0.86548,0.9777,0.97733,0.98985,0.70181,1.16449,0.39069,1.06443,0.000128599,0.000128599,0.000128599
157,10707.6,0.64047,0.42558,0.86389,0.98344,0.97812,0.99015,0.74981,1.0107,0.34927,1.00092,0.000123596,0.000123596,0.000123596
158,10775.8,0.63642,0.42012,0.85773,0.98549,0.97864,0.99003,0.75906,0.97602,0.34139,0.9883,0.000118687,0.000118687,0.000118687
159,10843.9,0.63802,0.42111,0.86138,0.97232,0.9801,0.98767,0.67209,1.27736,0.42268,1.14566,0.000113873,0.000113873,0.000113873
160,10912,0.6378,0.42111,0.86017,0.97998,0.9769,0.98941,0.71324,1.13606,0.38038,1.06808,0.000109156,0.000109156,0.000109156
161,10980.1,0.63323,0.41476,0.85965,0.97722,0.97592,0.98943,0.67131,1.28858,0.42235,1.15206,0.000104537,0.000104537,0.000104537
162,11048.8,0.6258,0.41494,0.86059,0.96785,0.98017,0.98791,0.67032,1.28459,0.42858,1.15095,0.000100016,0.000100016,0.000100016
163,11117.1,0.62971,0.41783,0.86361,0.9666,0.97709,0.98502,0.6723,1.28531,0.4345,1.15801,9.55951e-05,9.55951e-05,9.55951e-05
164,11185.5,0.62246,0.40584,0.85552,0.96776,0.97691,0.98656,0.66486,1.31361,0.43755,1.16843,9.12754e-05,9.12754e-05,9.12754e-05
165,11253.6,0.62666,0.40718,0.86317,0.96985,0.98197,0.98816,0.6813,1.25901,0.4173,1.13255,8.70577e-05,8.70577e-05,8.70577e-05
166,11321.9,0.62963,0.41148,0.85982,0.96578,0.98266,0.98798,0.6861,1.24091,0.41538,1.12182,8.29431e-05,8.29431e-05,8.29431e-05
167,11390,0.61664,0.40505,0.85562,0.97806,0.98431,0.98976,0.79658,0.8479,0.30931,0.9452,7.89327e-05,7.89327e-05,7.89327e-05
168,11458,0.62135,0.41056,0.85966,0.97894,0.97862,0.98926,0.73755,1.0753,0.36621,1.03871,7.50274e-05,7.50274e-05,7.50274e-05
169,11526.1,0.62308,0.40945,0.86056,0.96889,0.97684,0.98583,0.67413,1.26942,0.42666,1.13857,7.12282e-05,7.12282e-05,7.12282e-05
170,11594.6,0.62128,0.40334,0.85418,0.96745,0.97971,0.98893,0.6509,1.37336,0.44872,1.21038,6.7536e-05,6.7536e-05,6.7536e-05
